File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
*** No input files
File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
./CIndexCodeCompletion.cpp,821,22,4,misc,getlogin,"It's often easy to fool getlogin.  Sometimes it does not work at all, because some program messed up the utmp file.  Often, it gives only the first 8 characters of the login name. The user currently logged in on the controlling tty of our program need not be the user who started it.  Avoid getlogin() for security-related purposes (CWE-807)",Use getpwuid(geteuid()) and extract the desired information instead,,CWE-807,  const char *name = getlogin();,fdd2109b67b97618f5a539788a8c30c0f1f7e57ce120f28b294b53c417db0760
./CIndexer.cpp,115,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy(w32path, path);",258ce1bd9b375968b4bf748d6848aa850192a51a70dd92461e0e082d37f16363
./ARCMigrate.cpp,40,20,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20","  bool Logging = ::getenv(""LIBCLANG_LOGGING"");",e86e68830de086cfd4fadf8bac18055cb59249585b8fa6aae0ef5f7985b7ad71
./ARCMigrate.cpp,83,20,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20","  bool Logging = ::getenv(""LIBCLANG_LOGGING"");",e86e68830de086cfd4fadf8bac18055cb59249585b8fa6aae0ef5f7985b7ad71
./CIndex.cpp,3254,8,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20","  if (!getenv(""LIBCLANG_DISABLE_CRASH_RECOVERY""))",9e442517c422b94dedbffa775d7a1adc8fae28ff6cdcbce9690f5b227dfa5e0a
./CIndex.cpp,3275,7,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20","  if (getenv(""LIBCLANG_BGPRIO_INDEX""))",2fb3a6934ef0bdc6b278e2f159b0b171270fea97753d0213e60b5ce1b7336d29
./CIndex.cpp,3278,7,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20","  if (getenv(""LIBCLANG_BGPRIO_EDIT""))",ee48c1c4a530984e5b16979a378af650b299f6377bd80eea3ea19f8b62a0f283
./CIndex.cpp,3606,14,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20","  } else if (getenv(""LIBCLANG_RESOURCE_USAGE"")) {",d6b0126b1890433652f00884af0697124eb357c753009c7935a84de203a301b8
