Results,Entity,CheckID,Line,Column
"Number of Results: 8539","","","",""
  "Published Standards","","","",""
    "MISRA-C++ 2008","","","",""
      "27-0-1 The stream input","","","",""
        "27-0-1 The stream input/output library <cstdio> shall not be used - MISRA08_27-0-1","","","",""
          "libclang","","","",""
            "<a id=""1"">CIndexCodeCompletion.cpp</a>","","","",""
              "<cstdio> included in file CIndexCodeCompletion.cpp","cstdio","MISRA08_27-0-1","40","0"
            "<a id=""2"">CIndexer.cpp</a>","","","",""
              "<cstdio> included in file CIndexer.cpp","cstdio","MISRA08_27-0-1","25","0"
            "<a id=""3"">CXCompilationDatabase.cpp</a>","","","",""
              "<cstdio> included in file CXCompilationDatabase.cpp","cstdio","MISRA08_27-0-1","4","0"
            "<a id=""4"">Indexing.cpp</a>","","","",""
              "<cstdio> included in file Indexing.cpp","cstdio","MISRA08_27-0-1","33","0"
      "0-1-1 A project shall not contain unreachable code - MISRA08_0-1-1","","","",""
        "libclang","","","",""
          "<a id=""5"">CXType.cpp</a>","","","",""
            "Unreachable Code","clang_getFunctionTypeCallingConv","MISRA08_0-1-1","666","6"
      "0-1-10 All defined functions called - MISRA08_0-1-10","","","",""
        "libclang","","","",""
          "<a id=""6"">ARCMigrate.cpp</a>","","","",""
            "Violation: clang_getRemappings defined but not called.","clang_getRemappings","MISRA08_0-1-10","35","12"
            "Violation: clang_getRemappingsFromFileList defined but not called.","clang_getRemappingsFromFileList","MISRA08_0-1-10","77","12"
            "Violation: clang_remap_getNumFiles defined but not called.","clang_remap_getNumFiles","MISRA08_0-1-10","121","9"
            "Violation: clang_remap_getFilenames defined but not called.","clang_remap_getFilenames","MISRA08_0-1-10","126","5"
            "Violation: clang_remap_dispose defined but not called.","clang_remap_dispose","MISRA08_0-1-10","136","5"
          "<a id=""7"">BuildSystem.cpp</a>","","","",""
            "Violation: clang_getBuildSessionTimestamp defined but not called.","clang_getBuildSessionTimestamp","MISRA08_0-1-10","26","19"
            "Violation: clang_VirtualFileOverlay_addFileMapping defined but not called.","clang_VirtualFileOverlay_addFileMapping","MISRA08_0-1-10","38","0"
            "Violation: clang_VirtualFileOverlay_setCaseSensitivity defined but not called.","clang_VirtualFileOverlay_setCaseSensitivity","MISRA08_0-1-10","61","0"
            "Violation: clang_VirtualFileOverlay_writeToBuffer defined but not called.","clang_VirtualFileOverlay_writeToBuffer","MISRA08_0-1-10","70","0"
