CodeCheck Summary,,
"Number of Results: ","8539",""
  "Published Standards","8539",""
    "MISRA-C++ 2008","8539",""
      "27-0-1 The stream input","4",""
        "27-0-1 The stream input/output library <cstdio> shall not be used - MISRA08_27-0-1","4",""
      "0-1-1 A project shall not contain unreachable code - MISRA08_0-1-1","1",""
      "0-1-10 All defined functions called - MISRA08_0-1-10","733",""
      "0-1-11 A There shall be no unused parameters (named or unnamed) in non-virtual functions - MISRA08_0-1-11","139",""
      "0-1-3 A project shall not contain unused variables - MISRA08_0-1-3","59",""
      "0-1-4 A project shall not contain non-volatile POD variables having only one use - MISRA08_0-1-4","51",""
      "0-1-5 A project shall not contain unused type declarations - MISRA08_0-1-5","4",""
      "0-1-7 The value returned by a function having a non-void return type that is not an overloaded operator shall always be used - MISRA08_0-1-7","48",""
      "10-3-2 Each overriding virtual function shall be declared with the virtual keyword. - MISRA08_10-3-2","24",""
      "11-0-1 Member data in non-POD class types shall be private - MISRA08_11-0-1","5",""
      "12-1-2 All constructors of a class should explicitly call a constructor for all of its immediate base classes and all virtual base classes - MISRA08_12-1-2","2",""
      "12-1-3 All constructors that are callable with a single argument of fundamental type shall be declared explicit - MISRA08_12-1-3","11",""
      "14-7-1 All class templates, function templates, class template member functions and class template static members shall be instantiated at least once - MISRA08_14-7-1","11",""
      "16-0-1 #include directives in a file shall only be preceded by other preprocessor directives or comments - MISRA08_16-0-1","9",""
      "16-0-2 Macros shall only be #define'd or #undef'd in the global namespace - MISRA08_16-0-2","30",""
      "16-0-3 #undef shall not be used - MISRA08_16-0-3","9",""
      "16-0-4 Function-like macros shall not be defined - MISRA08_16-0-4","27",""
      "16-0-6 In the definition of a function-like macro, each instance of a parameter shall be enclosed in parentheses, unless it is used as the operand of # or ## - MISRA08_16-0-6","9",""
      "16-0-7 Undefined macro identifiers shall not be used in #if or #elif preprocessor directives, except as operands to the defined operator - MISRA08_16-0-7","3",""
      "16-2-1 The pre-processor shall only be used for file inclusion and include guards - MISRA08_16-2-1","36",""
      "16-2-2 C++ macros shall only be used for include guards, type qualifiers, or storage class specifiers - MISRA08_16-2-2","27",""
      "16-3-1 There shall be at most one occurrence of the # or ## operators in a single macro definition - MISRA08_16-3-1","5",""
      "16-3-2 The # and ## operators should not be used - MISRA08_16-3-2","9",""
      "17-0-1 Reserved identifiers, macros and functions in the standard library shall not be defined, redefined or undefined - MISRA08_17-0-1","1",""
      "17-0-2 The names of standard library macros and objects shall not be reused - MISRA08_17-0-2","3",""
      "18-0-1 The C library shall not be used - MISRA08_18-0-1","2",""
      "18-0-3 The library functions abort, exit, getenv and system from library <cstdlib> shall not be used - MISRA08_18-0-3","1",""
      "18-4-1 Dynamic heap memory allocation shall not be used. - MISRA08_18-4-1","90",""
      "2-10-1 Different identifiers shall be typographically unambiguous - MISRA08_2-10-1","334",""
      "2-10-2 Identifiers declared in an inner scope shall not hide an identifier declared in an outer scope - MISRA08_2-10-2","55",""
      "2-10-4 A class, union or enum name (including qualification, if any) shall be a unique identifier - MISRA08_2-10-4","11",""
      "2-10-5 The identifier name of a non-member object or function with static storage duration should not be reused - MISRA08_2-10-5","13",""
      "2-7-3 Sections of code should not be "commented out" using C++ comments - MISRA08_2-7-3","11",""
      "3-1-1 It shall be possible to include any header file in multiple translation units without violating the One Definition Rule - MISRA08_3-1-1","95",""
      "3-1-2 Functions shall not be declared at block scope - MISRA08_3-1-2","3",""
      "3-2-1 All declarations of an object or function shall have compatible types - MISRA08_3-2-1","15",""
      "3-2-3 A type, object or function that is used in multiple translation units shall be declared in one and only one file - MISRA08_3-2-3","11",""
      "3-2-4 Is An identifier with external linkage shall have exactly one definition. - MISRA08_3-2-4","53",""
      "3-3-1 Objects or functions with external linkage shall be declared in a header file - MISRA08_3-3-1","386",""
      "3-3-2 If a function has internal linkage then all re-declarations shall include the static storage class specifier. - MISRA08_3-3-2","1",""
      "3-9-2 Typedefs that indicate size and signedness should be used in place of the basic numerical types - MISRA08_3-9-2","176",""
      "4-5-1 Expressions with type bool shall not be used as operands to built-in operators other than the assignment operator =, the logical operators &&, ||, !, the equality operators == and !=, the unary & operator, and the conditional operator - MISRA08_4-5-1","2",""
      "4-5-3 Expressions with type (plain) char and wchar_t shall not be used as operands to built-in operators other than the assignment operator =, the equality operators == and !=, and the unary & operator - MISRA08_4-5-3","1",""
      "5-2-10 The increment (++) and decrement (--) operators should not be mixed with other operators in an expression. - MISRA08_5-2-10","33",""
      "6-3-1 The statement forming the body of a switch, while, do ... while or for statement shall be a compound statement - MISRA08_6-3-1","38",""
      "6-4-1 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement - MISRA08_6-4-1","1293",""
      "6-4-2 All if ... else if constructs shall be terminated with an else clause - MISRA08_6-4-2","34",""
      "6-4-5 An unconditional throw or break statement shall terminate every non-empty switch-clause - MISRA08_6-4-5","695",""
      "6-4-6 The final clause of a switch statement shall be the default-clause - MISRA08_6-4-6","134",""
      "6-4-8 Every switch statement shall have at least one case clause - MISRA08_6-4-8","2",""
      "6-5-1 A for loop shall contain a single loop-counter which shall not have floating type - MISRA08_6-5-1","63",""
      "6-5-2 If loop-counter is not modified by -- or ++, then, within condition, the loop-counter shall only be used as an operand to <=, <, > or >= - MISRA08_6-5-2","52",""
      "6-5-4 The loop-counter shall be modified by one of: --, ++, -=n, or +=n; where n remains constant for the duration of the loop - MISRA08_6-5-4","2",""
      "6-6-2 The goto statement shall jump to a label declared later in the same function body - MISRA08_6-6-2","3",""
      "6-6-4 For any iteration statement there shall be no more than one break or goto statement used for loop termination - MISRA08_6-6-4","4",""
      "6-6-5 A function shall have a single point of exit at the end of the function - MISRA08_6-6-5","563",""
      "7-1-1 A variable which is not modified shall be const qualified - MISRA08_7-1-1","1845",""
      "7-1-2 A pointer or reference parameter in a function shall be declared as pointer to const or reference to const if the corresponding object is not modified - MISRA08_7-1-2","148",""
      "7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations - MISRA08_7-3-1","528",""
      "7-3-4 using-directives shall not be used - MISRA08_7-3-4","52",""
      "7-3-5 Multiple declarations for an identifier in the same namespace shall not straddle a using-declaration for that identifier - MISRA08_7-3-5","2",""
      "7-5-4 No direct or indirect recursion allowed. - MISRA08_7-5-4","21",""
      "8-0-1 An init-declarator-list or a member-declarator-list shall consist of a single init-declarator or member-declarator respectively - MISRA08_8-0-1","20",""
      "8-4-2 Use the same identifier in definition and declaration of functions. - MISRA08_8-4-2","2",""
      "8-4-4 A function identifier shall either be used to call the function or it shall be preceded by & - MISRA08_8-4-4","421",""
      "8-5-1 All variables shall have a defined value before they are used - MISRA08_8-5-1","23",""
      "9-3-1 Const member functions shall not return non-const pointers or references to class-data - MISRA08_9-3-1","3",""
      "9-3-3 If a member function can be made static then it shall be made static, otherwise if it can be made const then it shall be made const - MISRA08_9-3-3","37",""
      "9-5-1 Unions shall not be used - MISRA08_9-5-1","1",""

