Results	Entity	Line	Column	CheckID	Check Name
Number of Results: 8539					
  libclang					
    ARCMigrate.cpp					
      Violation: clang_getRemappings defined but not called.	clang_getRemappings	35	12	MISRA08_0-1-10	0-1-10 All defined functions called
      Violation: clang_getRemappingsFromFileList defined but not called.	clang_getRemappingsFromFileList	77	12	MISRA08_0-1-10	0-1-10 All defined functions called
      Violation: clang_remap_getNumFiles defined but not called.	clang_remap_getNumFiles	121	9	MISRA08_0-1-10	0-1-10 All defined functions called
      Violation: clang_remap_getFilenames defined but not called.	clang_remap_getFilenames	126	5	MISRA08_0-1-10	0-1-10 All defined functions called
      Violation: clang_remap_dispose defined but not called.	clang_remap_dispose	136	5	MISRA08_0-1-10	0-1-10 All defined functions called
      Unused Parameter migrate_dir_path in Non Virtual Functions	migrate_dir_path	35	44	MISRA08_0-1-11	0-1-11 A There shall be no unused parameters (named or unnamed) in non-virtual functions
      Unused Parameter filePaths in Non Virtual Functions	filePaths	77	57	MISRA08_0-1-11	0-1-11 A There shall be no unused parameters (named or unnamed) in non-virtual functions
      Unused Parameter numFiles in Non Virtual Functions	numFiles	78	53	MISRA08_0-1-11	0-1-11 A There shall be no unused parameters (named or unnamed) in non-virtual functions
      Undefined macro identifier CLANG_ENABLE_ARCMT used incorrectly	CLANG_ENABLE_ARCMT	36	5	MISRA08_16-0-7	16-0-7 Undefined macro identifiers shall not be used in #if or #elif preprocessor directives, except as operands to the defined operator
      Undefined macro identifier CLANG_ENABLE_ARCMT used incorrectly	CLANG_ENABLE_ARCMT	79	5	MISRA08_16-0-7	16-0-7 Undefined macro identifiers shall not be used in #if or #elif preprocessor directives, except as operands to the defined operator
      Violation: File contains invalid dynamic memory statement.		58	31	MISRA08_18-4-1	18-4-1 Dynamic heap memory allocation shall not be used.
      Violation: File contains invalid dynamic memory statement.		85	31	MISRA08_18-4-1	18-4-1 Dynamic heap memory allocation shall not be used.
      Violation: File contains invalid dynamic memory statement.		137	2	MISRA08_18-4-1	18-4-1 Dynamic heap memory allocation shall not be used.
      An object or function, clang_getRemappings, has external linkage and is not declared in a header file. Declare in header file or move to unnamed namespace.	clang_getRemappings	35	12	MISRA08_3-3-1	3-3-1 Objects or functions with external linkage shall be declared in a header file
      An object or function, clang_getRemappingsFromFileList, has external linkage and is not declared in a header file. Declare in header file or move to unnamed namespace.	clang_getRemappingsFromFileList	77	12	MISRA08_3-3-1	3-3-1 Objects or functions with external linkage shall be declared in a header file
      An object or function, clang_remap_getNumFiles, has external linkage and is not declared in a header file. Declare in header file or move to unnamed namespace.	clang_remap_getNumFiles	121	9	MISRA08_3-3-1	3-3-1 Objects or functions with external linkage shall be declared in a header file
      An object or function, clang_remap_getFilenames, has external linkage and is not declared in a header file. Declare in header file or move to unnamed namespace.	clang_remap_getFilenames	126	5	MISRA08_3-3-1	3-3-1 Objects or functions with external linkage shall be declared in a header file
      An object or function, clang_remap_dispose, has external linkage and is not declared in a header file. Declare in header file or move to unnamed namespace.	clang_remap_dispose	136	5	MISRA08_3-3-1	3-3-1 Objects or functions with external linkage shall be declared in a header file
      Violation: basic numerical type "char" used in "const char *".	migrate_dir_path	35	44	MISRA08_3-9-2	3-9-2 Typedefs that indicate size and signedness should be used in place of the basic numerical types
      Violation: basic numerical type "char" used in "const char **".	filePaths	77	57	MISRA08_3-9-2	3-9-2 Typedefs that indicate size and signedness should be used in place of the basic numerical types
      Loop or switch statement not enclosed in curly braces { } in ARCMigrate.cpp.	clang_getRemappings	68	41	MISRA08_6-3-1	6-3-1 The statement forming the body of a switch, while, do ... while or for statement shall be a compound statement
      Loop or switch statement not enclosed in curly braces { } in ARCMigrate.cpp.	clang_getRemappingsFromFileList	112	41	MISRA08_6-3-1	6-3-1 The statement forming the body of a switch, while, do ... while or for statement shall be a compound statement
      If statement not enclosed in curly braces { } in ARCMigrate.cpp.	clang_getRemappings	44	76	MISRA08_6-4-1	6-4-1 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement
      If statement not enclosed in curly braces { } in ARCMigrate.cpp.	clang_getRemappingsFromFileList	90	36	MISRA08_6-4-1	6-4-1 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement
      If statement not enclosed in curly braces { } in ARCMigrate.cpp.	clang_getRemappingsFromFileList	97	40	MISRA08_6-4-1	6-4-1 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement
      If statement not enclosed in curly braces { } in ARCMigrate.cpp.	clang_remap_getFilenames	130	64	MISRA08_6-4-1	6-4-1 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement
      If statement not enclosed in curly braces { } in ARCMigrate.cpp.	clang_remap_getFilenames	133	65	MISRA08_6-4-1	6-4-1 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement
      For loop contains more than one loop counter	clang_getRemappings	67	39	MISRA08_6-5-1	6-5-1 A for loop shall contain a single loop-counter which shall not have floating type
      For loop contains more than one loop counter	clang_getRemappingsFromFileList	111	39	MISRA08_6-5-1	6-5-1 A for loop shall contain a single loop-counter which shall not have floating type
      Inappropriate condition test in for loop	clang_getRemappings	67	78	MISRA08_6-5-2	6-5-2 If loop-counter is not modified by -- or ++, then, within condition, the loop-counter shall only be used as an operand to <=, <, > or >=
      Inappropriate condition test in for loop	clang_getRemappingsFromFileList	111	78	MISRA08_6-5-2	6-5-2 If loop-counter is not modified by -- or ++, then, within condition, the loop-counter shall only be used as an operand to <=, <, > or >=
      Multiple exit points from function	clang_getRemappings	35	12	MISRA08_6-6-5	6-6-5 A function shall have a single point of exit at the end of the function
      Multiple exit points from function	clang_getRemappingsFromFileList	77	12	MISRA08_6-6-5	6-6-5 A function shall have a single point of exit at the end of the function
      Unmodified value numFiles not const qualified	numFiles	78	53	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value map not const qualified	map	121	45	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value original not const qualified	original	127	40	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value transformed not const qualified	transformed	127	60	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Unmodified value map not const qualified	map	136	37	MISRA08_7-1-1	7-1-1 A variable which is not modified shall be const qualified
      Inappropriate global declaration Remap.	Remap	25	7	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Inappropriate global declaration clang_getRemappings.	clang_getRemappings	35	12	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Inappropriate global declaration clang_getRemappingsFromFileList.	clang_getRemappingsFromFileList	77	12	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
      Inappropriate global declaration clang_remap_getNumFiles.	clang_remap_getNumFiles	121	9	MISRA08_7-3-1	7-3-1 The global namespace shall only contain main, namespace declarations and extern 'C' declarations
