Results	Entity	Line	Column	CheckID	Check Name
Number of Results: 3299					
  libclang					
    ARCMigrate.cpp					
      Violation: clang_getRemappings defined but not called.	clang_getRemappings	35	12	RECOMMENDED_13	Unused Functions
      Violation: clang_getRemappingsFromFileList defined but not called.	clang_getRemappingsFromFileList	77	12	RECOMMENDED_13	Unused Functions
      Violation: clang_remap_getNumFiles defined but not called.	clang_remap_getNumFiles	121	9	RECOMMENDED_13	Unused Functions
      Violation: clang_remap_getFilenames defined but not called.	clang_remap_getFilenames	126	5	RECOMMENDED_13	Unused Functions
      Violation: clang_remap_dispose defined but not called.	clang_remap_dispose	136	5	RECOMMENDED_13	Unused Functions
      Unused Local Variable	migrate_dir_path	35	44	RECOMMENDED_14	Unused Local Variables
      Unused Local Variable	filePaths	77	57	RECOMMENDED_14	Unused Local Variables
      Unused Local Variable	numFiles	78	53	RECOMMENDED_14	Unused Local Variables
      No comment with variable declaration	Vec	26	52	RECOMMENDED_16	Variables should be commented
    BuildSystem.cpp					
      Fixed Value(256) used incorrectly	SmallString	76	20	RECOMMENDED_08	Magic Numbers
      Fixed Value(256) used incorrectly	SmallString	132	20	RECOMMENDED_08	Magic Numbers
      Violation: clang_getBuildSessionTimestamp defined but not called.	clang_getBuildSessionTimestamp	26	19	RECOMMENDED_13	Unused Functions
      Violation: clang_VirtualFileOverlay_addFileMapping defined but not called.	clang_VirtualFileOverlay_addFileMapping	38	0	RECOMMENDED_13	Unused Functions
      Violation: clang_VirtualFileOverlay_setCaseSensitivity defined but not called.	clang_VirtualFileOverlay_setCaseSensitivity	61	0	RECOMMENDED_13	Unused Functions
      Violation: clang_VirtualFileOverlay_writeToBuffer defined but not called.	clang_VirtualFileOverlay_writeToBuffer	70	0	RECOMMENDED_13	Unused Functions
      Violation: clang_free defined but not called.	clang_free	87	5	RECOMMENDED_13	Unused Functions
      Violation: clang_VirtualFileOverlay_dispose defined but not called.	clang_VirtualFileOverlay_dispose	91	5	RECOMMENDED_13	Unused Functions
      Violation: clang_ModuleMapDescriptor_create defined but not called.	clang_ModuleMapDescriptor_create	101	22	RECOMMENDED_13	Unused Functions
      Violation: clang_ModuleMapDescriptor_setFrameworkModuleName defined but not called.	clang_ModuleMapDescriptor_setFrameworkModuleName	106	0	RECOMMENDED_13	Unused Functions
      Violation: clang_ModuleMapDescriptor_setUmbrellaHeader defined but not called.	clang_ModuleMapDescriptor_setUmbrellaHeader	116	0	RECOMMENDED_13	Unused Functions
      Violation: clang_ModuleMapDescriptor_writeToBuffer defined but not called.	clang_ModuleMapDescriptor_writeToBuffer	126	0	RECOMMENDED_13	Unused Functions
      Violation: clang_ModuleMapDescriptor_dispose defined but not called.	clang_ModuleMapDescriptor_dispose	149	5	RECOMMENDED_13	Unused Functions
      No comment with variable declaration	Comp	51	14	RECOMMENDED_16	Variables should be commented
      No comment with variable declaration	Data	80	12	RECOMMENDED_16	Variables should be commented
      No comment with variable declaration	ModuleName	97	14	RECOMMENDED_16	Variables should be commented
      No comment with variable declaration	UmbrellaHeader	98	14	RECOMMENDED_16	Variables should be commented
      No comment with variable declaration	Data	142	12	RECOMMENDED_16	Variables should be commented
    CIndex.cpp					
      Comment appears to contain code in or near cursor	cursor	5537		RECOMMENDED_00	"Commented Out" Code
      Comment appears to contain code in or near getBegin	getBegin	5556		RECOMMENDED_00	"Commented Out" Code
      Comment appears to contain code in or near NextIdx	NextIdx	7419		RECOMMENDED_00	"Commented Out" Code
      Max Length(200) Exceeded: 8961 lines.	CIndex.cpp	0	0	RECOMMENDED_02	Files too long
      Max Length(200) Exceeded: 479 lines.	clang_getCursorKindSpelling	5018		RECOMMENDED_04	Functions Too Long
      Max Length(200) Exceeded: 220 lines.	clang_getCursorDefinition	6189		RECOMMENDED_04	Functions Too Long
      Function clang_disposeTranslationUnit has an implicit declaration	clang_disposeTranslationUnit	101	4	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isInvalid has an implicit declaration	clang_isInvalid	190	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isDeclaration has an implicit declaration	clang_isDeclaration	193	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isReference has an implicit declaration	clang_isReference	488	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isDeclaration has an implicit declaration	clang_isDeclaration	498	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isStatement has an implicit declaration	clang_isStatement	506	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isExpression has an implicit declaration	clang_isExpression	513	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isTranslationUnit has an implicit declaration	clang_isTranslationUnit	520	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_createTranslationUnit2 has an implicit declaration	clang_createTranslationUnit2	3318	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_parseTranslationUnit has an implicit declaration	clang_parseTranslationUnit	3368	9	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_parseTranslationUnit2 has an implicit declaration	clang_parseTranslationUnit2	3539	28	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_parseTranslationUnit2FullArgv has an implicit declaration	clang_parseTranslationUnit2FullArgv	3556	9	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_EvalResult_getAsLongLong has an implicit declaration	clang_EvalResult_getAsLongLong	3721	9	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_getCursorKind has an implicit declaration	clang_getCursorKind	3933	10	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_getNullCursor has an implicit declaration	clang_getNullCursor	4138	11	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isTranslationUnit has an implicit declaration	clang_isTranslationUnit	4450	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isReference has an implicit declaration	clang_isReference	4453	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isExpression has an implicit declaration	clang_isExpression	4535	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isStatement has an implicit declaration	clang_isStatement	4558	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isDeclaration has an implicit declaration	clang_isDeclaration	4577	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isStatement has an implicit declaration	clang_isStatement	4618	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_getCursorLocation has an implicit declaration	clang_getCursorLocation	4700	27	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isInvalid has an implicit declaration	clang_isInvalid	4706	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isDeclaration has an implicit declaration	clang_isDeclaration	4706	34	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isInvalid has an implicit declaration	clang_isInvalid	4720	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isDeclaration has an implicit declaration	clang_isDeclaration	4720	34	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isInvalid has an implicit declaration	clang_isInvalid	4734	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isDeclaration has an implicit declaration	clang_isDeclaration	4734	34	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isDeclaration has an implicit declaration	clang_isDeclaration	4919	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isDeclaration has an implicit declaration	clang_isDeclaration	4937	7	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isDeclaration has an implicit declaration	clang_isDeclaration	5525	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isExpression has an implicit declaration	clang_isExpression	5578	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isDeclaration has an implicit declaration	clang_isDeclaration	5579	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isExpression has an implicit declaration	clang_isExpression	5595	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_getNullCursor has an implicit declaration	clang_getNullCursor	5616	11	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isCursorDefinition has an implicit declaration	clang_isCursorDefinition	5631	24	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_getCursorLocation has an implicit declaration	clang_getCursorLocation	5632	33	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_getCursorDefinition has an implicit declaration	clang_getCursorDefinition	5653	26	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_equalCursors has an implicit declaration	clang_equalCursors	5654	9	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_getNullCursor has an implicit declaration	clang_getNullCursor	5654	40	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_getCursorLocation has an implicit declaration	clang_getCursorLocation	5655	39	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isDeclaration has an implicit declaration	clang_isDeclaration	5687	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isDeclaration has an implicit declaration	clang_isDeclaration	5689	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isExpression has an implicit declaration	clang_isExpression	5697	6	RECOMMENDED_05	Functions shall not be declared implicitly
      Function clang_isStatement has an implicit declaration	clang_isStatement	5697	36	RECOMMENDED_05	Functions shall not be declared implicitly
      File contains "goto" statement.		7486	6	RECOMMENDED_06	Goto Statements
      Macro IMAGE_TYPE is defined within a block	IMAGE_TYPE	1516	8	RECOMMENDED_07	Macros shall not be #define'd or #undef'd within a block
      Macro EXT_OPAQUE_TYPE is defined within a block	EXT_OPAQUE_TYPE	1519	8	RECOMMENDED_07	Macros shall not be #define'd or #undef'd within a block
      Macro BUILTIN_TYPE is defined within a block	BUILTIN_TYPE	1527	8	RECOMMENDED_07	Macros shall not be #define'd or #undef'd within a block
      Macro SIGNED_TYPE is defined within a block	SIGNED_TYPE	1528	8	RECOMMENDED_07	Macros shall not be #define'd or #undef'd within a block
